time,X_ground_disp,X_floor_1_abs,X_floor_2_abs,X_floor_3_abs,X_floor_4_abs,X_floor_5_abs,X_floor_6_abs,X_floor_7_abs
0.0,0.0,2.974993196263585e-08,7.722662488611287e-08,1.238292993400917e-07,1.6442243799461593e-07,1.9662056861506558e-07,2.1901515403832184e-07,2.3135220214940603e-07
0.005,-6.142645e-12,2.8975128777614426e-08,7.520597095389755e-08,1.2058557611124305e-07,1.601133828826606e-07,1.9146649716475284e-07,2.1327335330476986e-07,2.252866245977559e-07
0.01,-2.4481400000000003e-11,2.819052103495781e-08,7.316127559234889e-08,1.1730305125920873e-07,1.557527887549457e-07,1.8625076273352233e-07,2.0746284984721764e-07,2.1914846564276917e-07
0.015,-5.486316999999999e-11,2.739534830064992e-08,7.109318073380333e-08,1.1398270367554136e-07,1.5134209076681328e-07,1.8097514158478e-07,2.0158565857153648e-07,2.1293987138150807e-07
0.02,-9.718811e-11,2.6589022524162134e-08,6.900277102086543e-08,1.1062593868846866e-07,1.4688314577890466e-07,1.7564183804242846e-07,1.9564422381539406e-07,2.0666341866818296e-07
0.025,-1.513878e-10,2.5770607521082612e-08,6.689094672236258e-08,1.0723401179675697e-07,1.4237764017972228e-07,1.7025289515692273e-07,1.8964082936608013e-07,2.0032152510006046e-07
0.03,-2.1738819999999998e-10,2.493915952354903e-08,6.475865723328132e-08,1.0380831634472475e-07,1.3782736358450692e-07,1.6481047036196462e-07,1.8357787406634608e-07,1.9391672454511656e-07
0.035,-2.950981e-10,2.4093638434877833e-08,6.26066971237601e-08,1.0035022843118525e-07,1.332340437417367e-07,1.5931666995356617e-07,1.7745770678652376e-07,1.8745150182298655e-07
0.04,-3.843987e-10,2.323309338508889e-08,6.043579115841913e-08,9.686123128376783e-08,1.285994682203699e-07,1.5377366774421982e-07,1.7128274642236426e-07,1.8092841231677833e-07
0.045,-4.851509e-10,2.235661745813848e-08,5.8246458066502236e-08,9.334280283724487e-08,1.2392537759982803e-07,1.4818359205361457e-07,1.6505537078719723e-07,1.7434997035928678e-07
0.05,-5.972491e-10,2.1463492126953493e-08,5.603909117075102e-08,8.979650229766449e-08,1.1921356723299707e-07,1.4254861874095e-07,1.5877801197282026e-07,1.6771874416214764e-07
0.055,-7.206702999999999e-10,2.055316787525865e-08,5.3813899563353254e-08,8.62238966115543e-08,1.1446583753131644e-07,1.3687091083020081e-07,1.5245309813088476e-07,1.6103729732874255e-07
0.06,-8.554795e-10,1.9625329822084106e-08,5.157096987853385e-08,8.262658779209675e-08,1.0968405247916444e-07,1.3115266597770005e-07,1.4608310245466966e-07,1.543082379478358e-07
0.065,-1.001776e-09,1.867986441924077e-08,4.931025551370476e-08,7.900615010073591e-08,1.0487011208794854e-07,1.2539607896413548e-07,1.3967050580963714e-07,1.4753418180464067e-07
0.07,-1.159604e-09,1.771685369150099e-08,4.703162062113469e-08,7.536410979043071e-08,1.0002596816232987e-07,1.1960335056693889e-07,1.332178039050358e-07,1.407177607267086e-07
0.075,-1.328882e-09,1.6736528555699087e-08,4.473485499583327e-08,7.170188962182652e-08,9.515360113598705e-08,1.1377666212751072e-07,1.2672747785822305e-07,1.338615948683679e-07
0.08,-1.50945e-09,1.573923990722113e-08,4.241971680232188e-08,6.80207820841814e-08,9.02550183914176e-08,1.079181777268018e-07,1.2020199006034752e-07,1.2696829076174755e-07
0.085,-1.7011670000000001e-09,1.4725481304018067e-08,4.008602782848834e-08,6.43219812790041e-08,8.53323006444342e-08,1.020301011810905e-07,1.1364383275238216e-07,1.2004049227052495e-07
0.09,-1.903981e-09,1.3695825120960462e-08,3.773368692421719e-08,6.060654344483912e-08,8.038756454621314e-08,9.611465612330273e-08,1.0705549826567793e-07,1.1308085307004736e-07
0.095,-2.117909e-09,1.2650906679820236e-08,3.536272554080332e-08,5.687540370025262e-08,7.542296757910995e-08,9.017411435169558e-08,1.0043949697946204e-07,1.0609205622291876e-07
0.1,-2.34292e-09,1.1591383646891371e-08,3.297333141058353e-08,5.312937837462662e-08,7.044068483570726e-08,8.42108006429141e-08,9.379835245878835e-08,9.907680985409445e-08
0.105,-2.578777e-09,1.0517869595484527e-08,3.0565824861572957e-08,4.936913972314452e-08,6.544284525471895e-08,7.822705935095897e-08,8.713456037666237e-08,9.20378050313547e-08
0.11,-2.824972e-09,9.430900230518726e-09,2.81406427844367e-08,4.5595219340861125e-08,6.043148620315848e-08,7.222523918390698e-08,8.045056904540066e-08,8.497769333028682e-08
0.115,-3.080866e-09,8.330951759134493e-09,2.56983453813873e-08,4.180805345040533e-08,5.5408543069831725e-08,6.620770986362899e-08,7.374879646778516e-08,7.789909876191547e-08
0.12,-3.345958e-09,7.21850368446801e-09,2.323965281755944e-08,3.8008071886056514e-08,5.037588079339538e-08,6.017691478724825e-08,6.703168904560603e-08,7.080466923446078e-08
0.125,-3.6200539999999997e-09,6.094052831544068e-09,2.0765428771225512e-08,3.4195740027005317e-08,4.533528151999992e-08,5.4135371175567573e-08,6.030173385538931e-08,6.369707969207378e-08
0.13,-3.9033070000000005e-09,4.958079075702288e-09,1.82766226402774e-08,3.0371558980375045e-08,4.0288398353825565e-08,4.808562579609091e-08,5.3561432477272795e-08,5.6578995463916764e-08
0.135,-4.196184e-09,3.8110593324804876e-09,1.5774265990749733e-08,2.653611493549983e-08,3.523676936625985e-08,4.203025937783885e-08,4.6813328663930645e-08,4.945308889543688e-08
0.14,-4.4993120000000005e-09,2.6534838717013028e-09,1.3259481469257964e-08,2.2690132867122626e-08,3.018184949027716e-08,3.597189750585158e-08,4.00600462698992e-08,4.232206673661904e-08
0.145,-4.813105e-09,1.4858138255279561e-09,1.0733433530744884e-08,1.883446275680143e-08,2.5124989014174615e-08,2.9913157752868544e-08,3.330426518072112e-08,3.5188637181339674e-08
0.15,-5.137398e-09,3.0837024366983484e-10,8.19719923227323e-09,1.496997855084783e-08,2.006733825868769e-08,2.3856514778777498e-08,2.654861464315129e-08,2.8055397196146125e-08
0.155,-5.471509e-09,-8.786485501855685e-10,5.651742660987299e-09,1.1097575761024879e-08,1.50098627643256e-08,1.7804270516919e-08,1.9795668605814022e-08,2.0924825901950223e-08
0.16,-5.8147509999999995e-09,-2.0750266765364965e-09,3.0980033373908468e-09,7.2182764096388785e-09,9.953476813586716e-09,1.1758640555600397e-08,1.3048051887799043e-08,1.3799393835422177e-08
0.165,-6.166982e-09,-3.2804366123075335e-09,5.369536239984867e-10,3.3332904968346957e-09,4.899143213562448e-09,5.721807771002321e-09,6.3085061253497996e-09,6.681637678704458e-09
0.17,-6.528758e-09,-4.494427657870369e-09,-2.0303894283266908e-09,-5.559849567589361e-10,-1.520816898459087e-10,-3.040746868283089e-10,-4.2010404938841396e-10,-4.2581885545849303e-10
0.17500000000000002,-6.901041e-09,-5.716500401115486e-09,-4.603005888651893e-09,-4.448036283849313e-09,-5.199068737371063e-09,-6.3169391554807946e-09,-7.134853843740974e-09,-7.520307507708181e-09
0.18,-7.284613e-09,-6.946181346913607e-09,-7.179900208557851e-09,-8.341297659926298e-09,-1.0240631899255867e-08,-1.2314844782433958e-08,-1.3832817288890349e-08,-1.45991491956262e-08
0.185,-7.679510000000001e-09,-8.183110036889411e-09,-9.760156507891552e-09,-1.2234242502402224e-08,-1.527557729864201e-08,-1.8296040376550892e-08,-2.051115784469736e-08,-2.1659715689753595e-08
