time,Y_ground_disp,Y_floor_1_abs,Y_floor_2_abs,Y_floor_3_abs,Y_floor_4_abs,Y_floor_5_abs,Y_floor_6_abs,Y_floor_7_abs
0.065,1.2498879999999999e-09,3.6239672778919214e-07,6.684557460546852e-07,8.718468303069304e-07,9.429434850831496e-07,8.718468303069303e-07,6.684557460546845e-07,3.6239672778919177e-07
0.07,1.451223e-09,3.41291215314976e-07,6.294395658010216e-07,8.208879309991074e-07,8.877576449043863e-07,8.208879309991073e-07,6.29439565801021e-07,3.412912153149757e-07
0.075,1.6677740000000002e-09,3.1959992141864636e-07,5.893229831002665e-07,7.685134448792332e-07,8.310545422380108e-07,7.685134448792331e-07,5.893229831002659e-07,3.195999214186461e-07
0.08,1.899713e-09,2.973714703452032e-07,5.481925561470643e-07,7.148343873620202e-07,7.729550701762072e-07,7.148343873620201e-07,5.481925561470638e-07,2.973714703452029e-07
0.085,2.147287e-09,2.7465528993700294e-07,5.06136943097322e-07,6.599639567553584e-07,7.135820444486451e-07,6.599639567553583e-07,5.061369430973214e-07,2.746552899370027e-07
0.09,2.410804e-09,2.515014010622591e-07,4.632466106522888e-07,6.040172432532222e-07,6.530598621900653e-07,6.040172432532221e-07,4.6324661065228833e-07,2.515014010622588e-07
0.095,2.690573e-09,2.2796036342347317e-07,4.1961368311026606e-07,5.471110887672486e-07,5.91514326054072e-07,5.471110887672485e-07,4.1961368311026564e-07,2.2796036342347296e-07
0.1,2.9868129999999997e-09,2.040831062716292e-07,3.7533164979006915e-07,4.893638106132566e-07,5.290723473392245e-07,4.893638106132566e-07,3.753316497900687e-07,2.0408310627162902e-07
0.105,3.299584e-09,1.799208986188469e-07,3.304952015763625e-07,4.3089506001589505e-07,4.658618004380855e-07,4.30895060015895e-07,3.304952015763622e-07,1.7992089861884673e-07
0.11,3.6288020000000003e-09,1.5552519526298468e-07,2.8519992441071995e-07,3.718255382639785e-07,4.0201125097899414e-07,3.7182553826397843e-07,2.851999244107197e-07,1.5552519526298452e-07
0.115,3.974355e-09,1.309475653058483e-07,2.3954207004684233e-07,3.122767906167614e-07,3.37649777788686e-07,3.122767906167614e-07,2.3954207004684206e-07,1.309475653058482e-07
0.12,4.336218e-09,1.0623953708334903e-07,1.9361822838891937e-07,2.523708976578238e-07,2.729067067064429e-07,2.5237089765782373e-07,1.9361822838891916e-07,1.0623953708334893e-07
0.125,4.7144419999999995e-09,8.14525491188338e-08,1.4752510405457221e-07,1.9223026686095106e-07,2.0791145782362086e-07,1.9223026686095103e-07,1.4752510405457208e-07,8.145254911883372e-08
0.13,5.1090359999999995e-09,5.66378709996406e-08,1.01359255763588e-07,1.3197737922351205e-07,1.427933582952728e-07,1.3197737922351205e-07,1.0135925576358789e-07,5.663787099964055e-08
0.135,5.5198510000000004e-09,3.184657839923413e-08,5.521689854474734e-08,7.173459149477446e-08,7.76815190053039e-08,7.173459149477444e-08,5.521689854474728e-08,3.18465783992341e-08
0.14,5.946617e-09,7.129442383653488e-09,9.193623947002446e-09,1.1623846024223512e-08,1.2704623526478076e-08,1.1623846024223512e-08,9.193623947002443e-09,7.129442383653484e-09
0.145,6.389093e-09,-1.746315962115018e-08,-3.6615843711758584e-08,-4.823359278570854e-08,-5.2009254613882914e-08,-4.823359278570853e-08,-3.661584371175854e-08,-1.746315962115016e-08
0.15,6.847204e-09,-4.188136242125007e-08,-8.211791504188527e-08,-1.0771743752701894e-07,-1.1633287239351881e-07,-1.0771743752701893e-07,-8.211791504188517e-08,-4.1881362421250024e-08
0.155,7.321061e-09,-6.607586753999128e-08,-1.2722032413688802e-07,-1.6670860730604226e-07,-1.8013997350293368e-07,-1.6670860730604223e-07,-1.2722032413688786e-07,-6.607586753999122e-08
