time,X_ground_disp,X_floor_1_abs,X_floor_2_abs,X_floor_3_abs,X_floor_4_abs,X_floor_5_abs,X_floor_6_abs,X_floor_7_abs
0.18,2.442509e-08,1.5928641387721832e-08,5.520424240296314e-09,-1.2075427835437047e-09,-4.115558513731058e-09,-4.619439215589364e-09,-4.713221390599018e-09,-4.983690028637172e-09
0.19,2.7301238999999998e-08,1.8373376150111764e-08,7.2779767873185535e-09,-7.481752568262335e-11,-3.4758320266331976e-09,-4.132050672946778e-09,-4.078697308423346e-09,-4.262154805486062e-09
0.2,3.0346172e-08,2.098288742511205e-08,9.19248723694325e-09,1.1920358703200002e-09,-2.730263856579796e-09,-3.625692370223685e-09,-3.462347613097657e-09,-3.524090520621556e-09
0.21,3.3561314e-08,2.375714326810021e-08,1.1267152544854264e-08,2.5949412189700363e-09,-1.870876351112247e-09,-3.082466137353384e-09,-2.866437383911613e-09,-2.7736838138118225e-09
0.22,3.694844e-08,2.6696807189337366e-08,1.3503461500018233e-08,4.137380762694957e-09,-8.935147682641095e-10,-2.4846257653864703e-09,-2.287631053163148e-09,-2.0178527875133824e-09
0.23,4.0508430000000006e-08,2.9803709008232316e-08,1.5901872132791494e-08,5.824294263782386e-09,2.0419662023611955e-10,-1.816178264185935e-09,-1.7160050916633035e-09,-1.2653747690925606e-09
0.24,4.4242608e-08,3.307988756620314e-08,1.8461876746159175e-08,7.66042373629844e-09,1.4238170376082873e-09,-1.0647017235481007e-09,-1.1365075496475515e-09,-5.265084580236668e-10
0.25,4.8151934e-08,3.652769108200327e-08,2.1183444011342983e-08,9.64994099390335e-09,2.767852142226554e-09,-2.207659378628316e-10,-5.303867926600721e-10,1.8915220729782555e-10
0.26,5.2238569e-08,4.01485196538523e-08,2.4066749210496713e-08,1.1794953158578076e-08,4.239301450693991e-09,7.221018318415707e-10,1.2107826844905673e-10,8.735444209343122e-10
0.27,5.650324e-08,4.3943710935951164e-08,2.7113347341061245e-08,1.409644201206937e-08,5.842459282089107e-09,1.7698317563004631e-09,8.346521761360168e-10,1.5227928954372204e-09
0.28,6.0946097e-08,4.791425531957415e-08,3.0325685429259375e-08,1.655438805066494e-08,7.582091882731806e-09,2.9288110612055637e-09,1.6225873149109528e-09,2.138146861858594e-09
0.29,6.5569295e-08,5.206017991646239e-08,3.3705825272558663e-08,1.9167642959005305e-08,9.462119789599525e-09,4.205706851964648e-09,2.490777157543566e-09,2.7257270589200317e-09
0.3,7.037379199999999e-08,5.638233620422599e-08,3.72561312999118e-08,2.193591128961832e-08,1.1486669309988812e-08,5.6084609353737e-09,3.440448479037518e-09,3.297596417443245e-09
0.31,7.5361479e-08,6.088146373472796e-08,4.097770289316666e-08,2.48591011498208e-08,1.3659040433883366e-08,7.1440486802985116e-09,4.468704767872726e-09,3.869722411347011e-09
0.32,8.053323e-08,6.555926505716491e-08,4.48711086702054e-08,2.7938445273185895e-08,1.598290030973496e-08,8.817881561005232e-09,5.5718613082709085e-09,4.4615060488776245e-09
0.33,8.5890317e-08,7.041765514634844e-08,4.893609302186675e-08,3.117602468685473e-08,1.8462050288513325e-08,1.0632055440354866e-08,6.7475100053676325e-09,5.093803698525366e-09
0.34,9.1435171e-08,7.545809856460805e-08,5.317152918156547e-08,3.457420000094298e-08,2.109989164628062e-08,1.2584345564768571e-08,7.996033758336873e-09,5.787108367705809e-09
0.35000000000000003,9.716772e-08,8.068263039874366e-08,5.7577253635193314e-08,3.813681065729378e-08,2.390027713315376e-08,1.4670030175089202e-08,9.322941694247256e-09,6.561914503983037e-09
0.36,1.030892e-07,8.609197405019103e-08,6.215311203532829e-08,4.186751203016334e-08,2.6865203916262344e-08,1.688182729614146e-08,1.0737255920233347e-08,7.436699805942647e-09
0.37,1.0920056e-07,9.168640610402622e-08,6.690030610096084e-08,4.5770531435034454e-08,2.9994934497256115e-08,1.9212880474098068e-08,1.2251469061884018e-08,8.428799537749072e-09
0.38,1.1550409e-07,9.746509966284086e-08,7.182070407421023e-08,4.984946469717506e-08,3.328659564438558e-08,2.1657925323081845e-08,1.3879188208331706e-08,9.553726957523425e-09
0.39,1.2200026e-07,1.0342751853754429e-07,7.691767985900896e-08,5.41076793796097e-08,3.67351561779335e-08,2.4215698545742136e-08,1.56345679752137e-08,1.082637681193723e-08
0.4,1.2868884e-07,1.0957344743166103e-07,8.21955099028309e-08,5.8547283409560635e-08,4.033382072606909e-08,2.6889155201701378e-08,1.7530858272246753e-08,1.2260882875765233e-08
0.41000000000000003,1.3557037e-07,1.15903172582925e-07,8.765875552043299e-08,6.316826393045505e-08,4.407514911059569e-08,2.968487182854644e-08,1.9579710176222347e-08,1.3870482127783264e-08
0.42,1.4264549e-07,1.2241854808498333e-07,9.331234259065506e-08,6.796874399626334e-08,4.7953294200649996e-08,3.2612590690346844e-08,2.179194172931698e-08,1.5668105638971972e-08
