time,Y_ground_disp,Y_floor_1_abs,Y_floor_2_abs,Y_floor_3_abs,Y_floor_4_abs,Y_floor_5_abs,Y_floor_6_abs,Y_floor_7_abs
0.11,-3.5761019999999996e-06,-1.4553444192266585e-06,-6.345243966723078e-07,-5.975038524453324e-07,-6.479760139628767e-07,-5.975038524453299e-07,-6.345243966723074e-07,-1.4553444192266577e-06
0.115,-3.90824e-06,-1.627871188715851e-06,-6.452150129378798e-07,-5.374701630011738e-07,-5.753633868592188e-07,-5.374701630011713e-07,-6.452150129378798e-07,-1.627871188715851e-06
0.12,-4.255089e-06,-1.8181157560343607e-06,-6.691479387591826e-07,-4.811573049560053e-07,-5.033813693476966e-07,-4.81157304956004e-07,-6.691479387591822e-07,-1.8181157560343603e-06
0.125,-4.616643e-06,-2.0258898045967133e-06,-7.07422922637301e-07,-4.2949842251922386e-07,-4.3254967828655854e-07,-4.294984225192196e-07,-7.074229226373018e-07,-2.025889804596713e-06
0.13,-4.992899e-06,-2.2509327575981967e-06,-7.610403841654517e-07,-3.8350017843436466e-07,-3.6348083628574184e-07,-3.835001784343596e-07,-7.610403841654517e-07,-2.2509327575981967e-06
0.135,-5.383853000000001e-06,-2.492937925392891e-06,-8.308929365248925e-07,-3.4424285650043855e-07,-2.968961186446685e-07,-3.44242856500436e-07,-8.308929365248934e-07,-2.492937925392891e-06
0.14,-5.789499e-06,-2.7515627906119575e-06,-9.17743567253909e-07,-3.128615221834631e-07,-2.336231767388829e-07,-3.128615221834614e-07,-9.177435672539082e-07,-2.751562790611957e-06
0.145,-6.209834e-06,-3.026460969512118e-06,-1.0222319709504657e-06,-2.905501505940268e-07,-1.7461674894549817e-07,-2.9055015059402424e-07,-1.0222319709504657e-06,-3.0264609695121177e-06
0.15,-6.644853e-06,-3.317286906284566e-06,-1.1448580752454866e-06,-2.785372318828328e-07,-1.209501364201755e-07,-2.7853723188283027e-07,-1.1448580752454866e-06,-3.3172869062845655e-06
0.155,-7.094551000000001e-06,-3.623719346645734e-06,-1.2859920629066652e-06,-2.780829537449005e-07,-7.382694341363504e-08,-2.7808295374489796e-07,-1.285992062906666e-06,-3.6237193466457332e-06
0.16,-7.558924e-06,-3.945468437577121e-06,-1.4458733684564465e-06,-2.90460352363346e-07,-3.457462067073437e-08,-2.9046035236334344e-07,-1.4458733684564474e-06,-3.945468437577121e-06
0.165,-8.037967e-06,-4.282289267442611e-06,-1.624624006915146e-06,-3.169469214722553e-07,-4.645731990434677e-09,-3.1694692147225363e-07,-1.6246240069151477e-06,-4.28228926744261e-06
0.17,-8.531675e-06,-4.633984027803386e-06,-1.8222556758595578e-06,-3.5880638713167746e-07,1.4394084919904413e-08,-3.5880638713167746e-07,-1.8222556758595594e-06,-4.633984027803385e-06
0.17500000000000002,-9.040045e-06,-5.000413174107752e-06,-2.0386928953919626e-06,-4.1728427011681275e-07,2.0868241892481744e-08,-4.1728427011681105e-07,-2.0386928953919643e-06,-5.000413174107752e-06
0.18,-9.563072e-06,-5.3814882757889705e-06,-2.273781829787368e-06,-4.935873600151108e-07,1.3011773836386545e-08,-4.935873600151091e-07,-2.2737818297873707e-06,-5.381488275788971e-06
0.185,-1.010075e-05,-5.7771770446296585e-06,-2.52731665637619e-06,-5.888804016471594e-07,-1.1018825301891411e-08,-5.888804016471577e-07,-2.5273166563761934e-06,-5.777177044629659e-06
0.19,-1.065308e-05,-6.1875036814008555e-06,-2.7990633989241125e-06,-7.04280441035078e-07,-5.312880453792887e-08,-7.042804410350763e-07,-2.799063398924116e-06,-6.187503681400855e-06
0.195,-1.122005e-05,-6.612528048685515e-06,-3.088765762835149e-06,-8.408347222161916e-07,-1.1524753413796052e-07,-8.408347222161899e-07,-3.0887657628351542e-06,-6.6125280486855155e-06
0.2,-1.1801660000000001e-05,-7.052361416774332e-06,-3.3961874870892855e-06,-9.99537074209711e-07,-1.993252375913678e-07,-9.99537074209711e-07,-3.3961874870892906e-06,-7.052361416774333e-06
0.20500000000000002,-1.2397899999999999e-05,-7.50714130974123e-06,-3.7211146448254683e-06,-1.181307356098593e-06,-3.0728926244163685e-07,-1.1813073560985913e-06,-3.721114644825475e-06,-7.507141309741232e-06
0.21,-1.300877e-05,-7.977041367001968e-06,-4.063390739684967e-06,-1.3870070002883567e-06,-4.410335268670614e-07,-1.387007000288355e-06,-4.063390739684974e-06,-7.97704136700197e-06
0.215,-1.363426e-05,-8.462247385951586e-06,-4.422916718473173e-06,-1.6174235971619518e-06,-6.023750136423697e-07,-1.6174235971619484e-06,-4.42291671847318e-06,-8.462247385951588e-06
0.22,-1.427438e-05,-8.962978197059659e-06,-4.79969179702075e-06,-1.8733003086239687e-06,-7.930539624192641e-07,-1.873300308623967e-06,-4.799691797020757e-06,-8.96297819705966e-06
0.225,-1.492911e-05,-9.479433183959913e-06,-5.193778071501445e-06,-2.1552935547078693e-06,-1.014662323871355e-06,-2.1552935547078676e-06,-5.193778071501452e-06,-9.479433183959915e-06
