time,Y_ground_disp,Y_floor_1_abs,Y_floor_2_abs,Y_floor_3_abs,Y_floor_4_abs,Y_floor_5_abs,Y_floor_6_abs,Y_floor_7_abs
0.0,0.0,5.569667609679546e-10,1.0927060624104534e-09,1.580544208285277e-09,1.9991633289699257e-09,2.330267528974643e-09,2.5593857527918997e-09,2.6765042424343556e-09
0.005,1.765968e-11,5.345667037034017e-10,1.0643057045720271e-09,1.5470467148400813e-09,1.9613113152744634e-09,2.288976487355931e-09,2.515716543508777e-09,2.631619749527818e-09
0.01,7.069595e-11,5.132519573421596e-10,1.033628210839701e-09,1.5101603463340612e-09,1.9191971618133924e-09,2.2427492115365975e-09,2.466649605667019e-09,2.5811027685992195e-09
0.015,1.591836e-10,4.972955508242295e-10,1.0019073415667471e-09,1.470907553456301e-09,1.8738112179830874e-09,2.192565361764321e-09,2.4131609347703123e-09,2.525928249800775e-09
0.02,2.831377e-10,4.908576203523721e-10,9.69533031423365e-10,1.4292340846370019e-09,1.8250517056689528e-09,2.1383105663459525e-09,2.3551321583515296e-09,2.465976757879475e-09
0.025,4.4254259999999995e-10,4.991840592562175e-10,9.378037264907808e-10,1.3856394949277856e-09,1.7733381489142086e-09,2.080389057137359e-09,2.292963290998951e-09,2.4016473294067558e-09
0.03,6.373711999999999e-10,5.273997458192214e-10,9.082633202543371e-10,1.3404138746259542e-09,1.718814399904164e-09,2.018922557970538e-09,2.2267705905174955e-09,2.3330549565636362e-09
0.035,8.675989e-10,5.805840123329448e-10,8.832727741323929e-10,1.2941761021216177e-09,1.6618421481573356e-09,1.9542384570746115e-09,2.156874214787909e-09,2.260518177208217e-09
0.04,1.13321e-09,6.6311563267512e-10,8.657081530783977e-10,1.2476141955216498e-09,1.6026835357224714e-09,1.886541663223551e-09,2.0834684115337465e-09,2.1842288412918777e-09
0.045,1.434214e-09,7.786679467775968e-10,8.59156359796553e-10,1.2018148425967847e-09,1.5417717476320947e-09,1.8161697126700035e-09,2.0068746370301115e-09,2.104504940319478e-09
0.05,1.770664e-09,9.298691980818712e-10,8.675778858682096e-10,1.1581334630515095e-09,1.4795283595908811e-09,1.7433868686870222e-09,1.927331751963912e-09,2.021580111774642e-09
0.055,2.142656e-09,1.118432342858257e-09,8.952745161519525e-10,1.1184258728397878e-09,1.4165648223914704e-09,1.6685562160095058e-09,1.8451624831786944e-09,1.935769283487753e-09
0.06,2.5502929999999996e-09,1.3451175347639908e-09,9.465343717854781e-10,1.084972728146324e-09,1.3536091207006605e-09,1.5920307974000692e-09,1.7606555981936686e-09,1.8473493623192522e-09
0.065,2.993661e-09,1.6099670756966605e-09,1.0254660442639642e-09,1.060574128014911e-09,1.2916471240301914e-09,1.5142580073575016e-09,1.6741579618354992e-09,1.7566491750646662e-09
0.07,3.4728070000000004e-09,1.912460304175253e-09,1.135707942773541e-09,1.0484564568403986e-09,1.2319225014894814e-09,1.4357451310114096e-09,1.5860232154036458e-09,1.6639947452183307e-09
0.075,3.987722e-09,2.2517645163470976e-09,1.2802677543338539e-09,1.0522198606990993e-09,1.176022707992532e-09,1.3571213583117908e-09,1.496653042140576e-09,1.5697456961445994e-09
0.08,4.538327999999999e-09,2.6269176429227675e-09,1.4613603294461794e-09,1.0756714637021611e-09,1.1258834648981528e-09,1.2791349898197412e-09,1.40647000175311e-09,1.4742610541287589e-09
0.085,5.124441000000001e-09,3.0370452668179166e-09,1.6804019571387696e-09,1.122703404517896e-09,1.083855154221279e-09,1.2027370783590459e-09,1.3159755418640836e-09,1.3779479012517864e-09
0.09,5.745782e-09,3.481467588674873e-09,1.938020669879441e-09,1.197084410865078e-09,1.0526756907120492e-09,1.129100129398234e-09,1.2257442259696505e-09,1.281243492644355e-09
0.095,6.4020709999999995e-09,3.959784998973695e-09,2.2341849163037635e-09,1.3022980247095315e-09,1.0354603575742341e-09,1.0596850293630685e-09,1.1364716761515715e-09,1.1846486620545784e-09
0.1,7.093183000000001e-09,4.471854012204716e-09,2.568324102706009e-09,1.441334631916052e-09,1.0355916950304303e-09,9.962361975599523e-10,1.0489603143851437e-09,1.088697017930426e-09
